week,tv_spend,digital_spend,social_spend,search_spend,promo_flag,price_index,holiday_flag,sales
2023-01-02,6339.37,5518.65,1351.31,1116.75,0,0.995,0,29130.48
2023-01-09,0,2039.33,2824.19,2853.27,0,1.017,0,31910.77
2023-01-16,4354.42,3629.46,2671.74,3349.05,0,0.999,0,36600.48
2023-01-23,6632.99,3849.73,1469.18,3260.17,0,1.035,0,37203.89
2023-01-30,0,5209.19,2037.19,2206.76,1,0.81,0,32051.64
2023-02-06,9053.13,7046.94,3024.21,1883.56,0,0.994,0,36809.21
2023-02-13,6864.68,3282.36,3173.77,720.85,0,1.018,0,37204.26
2023-02-20,0,17187.26,1932.03,7313.63,1,0.843,0,37084.77
2023-02-27,1762.88,5580.76,451.7,5697.48,0,0.984,0,34435.13
2023-03-06,913.66,7571.46,3355.23,1704.4,1,0.845,0,35515.47
2023-03-13,1928.36,3016.77,2240.25,2617.52,0,0.972,0,32706.68
2023-03-20,0,3499.47,1433.16,2240.66,0,1.002,0,33785.67
2023-03-27,6098.37,13859.19,2031.11,2028.76,0,1.049,0,39481.49
2023-04-03,1401.93,8600.71,1167.05,1237.79,0,1.023,0,41167.57
2023-04-10,7081.07,5601.89,3338.15,8867.95,0,0.978,0,38381.55
2023-04-17,3136.35,2489.7,2215.28,2321.55,0,0.983,0,36790.06
2023-04-24,0,13576.47,733.62,4129.77,0,0.992,0,37181.29
2023-05-01,11738.08,3408.12,3562.24,2370.95,0,1.02,0,40760.13
2023-05-08,5801,4608.93,3893.79,3206.72,0,0.984,0,40836.15
2023-05-15,6651.41,5572.4,2529.45,6380.92,0,0.986,0,38906.55
2023-05-22,0,7477.81,4010.13,2858.81,0,1.018,0,36799.85
2023-05-29,0,6158.2,860.52,6188.25,0,1.017,0,33520.73
2023-06-05,6937.09,5999.03,6137.9,1712.44,0,0.993,0,35307.78
2023-06-12,0,16157.38,3541.27,4028.69,0,0.978,0,37397.66
2023-06-19,2083.68,6516.85,5419.76,5907.89,0,0.969,0,35805.99
2023-06-26,9604.61,7864.94,880.38,4227.34,0,0.986,0,35103.64
2023-07-03,10308.99,2379.51,1903.97,1718.19,0,0.955,0,33808.11
2023-07-10,0,9320.02,2331.5,2122.68,0,1.015,0,35060.04
2023-07-17,3563.32,1840.82,8249.43,1739.57,1,0.837,0,33601.07
2023-07-24,4321.5,4101.24,2825.29,3288.83,0,1.01,0,32535.78
2023-07-31,0,19008.32,1106.29,2382.82,0,1.037,0,33231.49
2023-08-07,5418.77,3826.43,3997.03,1605.49,0,1.023,0,29680.73
2023-08-14,0,6100.02,3266.22,1106.35,0,0.977,0,27354.44
2023-08-21,3180.14,2916.32,1703.84,1744.3,1,0.867,0,32387.25
2023-08-28,725.04,2917.67,4803.55,2624.77,0,1.023,0,25731.72
2023-09-04,5867.95,11150.75,5818.78,4104.22,0,0.985,0,32295.91
2023-09-11,10353.14,4700.56,2439.36,3377.68,1,0.831,0,33252.93
2023-09-18,4691.8,5827.4,1400.83,3957.42,0,0.998,0,32073.21
2023-09-25,0,5125.86,4394.2,5458.36,0,0.968,0,29655.69
2023-10-02,0,2312.41,3714.31,3448.6,0,1.029,0,29824.37
2023-10-09,0,5620.82,2341.42,894.64,0,0.952,0,26426.93
2023-10-16,2289.34,10822.13,1578.21,2289.54,0,0.978,0,29142.9
2023-10-23,0,3813.58,2394.25,977.85,0,0.995,0,24280.11
2023-10-30,10107.87,7882.81,3888.16,2897.7,0,0.995,0,33247.88
2023-11-06,10210.68,10969.44,3002.78,702.35,0,1.003,0,33080.25
2023-11-13,0,2780.68,159.82,2561.34,0,1.005,0,30931.13
2023-11-20,0,9807.87,4296.07,2875.6,0,0.996,0,33376.97
2023-11-27,8190.85,1548.03,8061.22,3782.33,0,1.023,1,45809.84
2023-12-04,0,8806.8,3724.11,2647.36,1,0.807,1,43823.15
2023-12-11,0,4982.68,4961.19,10022.32,1,0.85,1,43067.04
2023-12-18,0,2972.5,2951.27,1987.36,1,0.836,1,42548.44
2023-12-25,0,5675.44,9119.41,4306.43,0,1.003,0,36743.85
2024-01-01,9072.89,4189.79,2934.68,1959.62,0,1.004,0,39133.75
2024-01-08,0,1904.92,6728.66,1349.43,0,0.982,0,37041.79
2024-01-15,0,10726.55,7180.6,1971.79,0,0.987,0,36434.95
2024-01-22,5952.77,11202.99,2665.88,903.87,0,1.016,0,38721.08
2024-01-29,2440.89,3162.54,4959.93,2977.56,0,1.007,0,40613.47
2024-02-05,0,4746.59,864.87,657.66,1,0.836,0,33090.74
2024-02-12,7326.74,4512.98,3781.8,4339.68,0,1.041,0,42464.07
2024-02-19,3853.84,5238.79,853.33,2579.55,0,1.046,0,40655.43
2024-02-26,718.89,2619.59,4169.39,3956.45,0,0.971,0,38692.39
2024-03-04,8285.31,10199.99,2155.26,1153.14,0,1.006,0,39522.31
2024-03-11,0,6319.74,2565.22,6063.49,0,1.05,0,42182.03
2024-03-18,10818.33,3322.22,1515.8,5249.23,0,1.016,0,44415.46
2024-03-25,10975.07,4566.76,3474.94,4678.23,0,1.004,0,47274.56
2024-04-01,1389.94,3825.02,4649.03,2450.34,0,0.996,0,45107.61
2024-04-08,16365.5,5497.38,1501.17,4266.17,0,0.989,0,45605.61
2024-04-15,5082.36,8758.71,2365.5,2569.42,0,0.996,0,45002.22
2024-04-22,0,8830.94,3495.58,5387.79,0,0.989,0,42977.28
2024-04-29,4025.91,3065.13,1907.61,679.84,0,1.015,0,42318.12
2024-05-06,3184.31,6502.18,6276.62,2740,0,0.992,0,42137.7
2024-05-13,0,3497.41,9298.99,5682.97,0,0.991,0,42774.16
2024-05-20,0,1821.44,3507.06,4373.98,0,0.976,0,41582.12
2024-05-27,6398.93,3075.12,2784.06,4505.89,0,0.999,0,40786.59
2024-06-03,4862.07,6088.65,3280.61,4279.65,0,0.982,0,38772.66
2024-06-10,6372.46,2162.03,1625.42,2988.16,0,0.996,0,38721.47
2024-06-17,0,3923.44,931.42,1406.05,0,1.021,0,35247.6
2024-06-24,0,7828.19,1723.54,3588.58,0,1.007,0,35920.29
2024-07-01,3578.14,3982.8,3492.79,2025.75,1,0.86,0,39950.17
2024-07-08,8136.5,3890.31,2394.2,2260.96,0,1.007,0,39317.18
2024-07-15,1543.05,3336.24,1544,2491.47,0,1.001,0,34063.78
2024-07-22,3711.12,1642.79,1374.14,2677.02,1,0.847,0,36516.02
2024-07-29,10666.14,5187.38,2977.86,1362.12,0,0.994,0,40228.47
2024-08-05,6690.32,6191.72,2363.59,4031.48,0,1.015,0,39008.9
2024-08-12,8836.64,6493.56,4718.04,3041.25,1,0.828,0,37761.07
2024-08-19,5657.83,3174.37,1358.65,5183.48,0,1.027,0,38347.37
2024-08-26,2044.62,3238.35,11816.33,7921.04,0,1.001,0,39098.36
2024-09-02,0,9518.23,2809.41,4203.53,1,0.835,0,37301.12
2024-09-09,6169.01,3360.83,9555.4,2893.58,0,0.99,0,38878.55
2024-09-16,4153.93,5075.26,2339.17,1012.83,0,0.986,0,37010.78
2024-09-23,4964.86,555.37,4169.92,2629.6,0,1.003,0,36838.12
2024-09-30,6442.97,3088.35,2101.93,3049.83,1,0.836,0,37619.52
2024-10-07,10292.71,3083.34,8096.3,3220.84,0,1.023,0,39922.01
2024-10-14,3951.37,2195.34,4673.28,2775.59,0,0.984,0,33622.78
2024-10-21,0,13005.23,1779.89,1908.18,0,0.955,0,35187.32
2024-10-28,5667.82,4925.7,2650.65,4584.16,0,0.985,0,38124.31
2024-11-04,10992.44,1555.71,4668.25,2977.46,0,0.96,0,36878.84
2024-11-11,12014.04,6192.25,713.11,4926.29,0,0.999,0,42279.66
2024-11-18,17051.7,5963.72,1747.68,1666.6,0,1.021,0,41063.02
2024-11-25,11571.1,6063.01,1950.35,3281.14,0,1.013,1,49902.41
2024-12-02,11658.54,12438.69,329.2,5329.7,1,0.823,1,54550.73
